ParName   Value   Gradient
log_rec_dev(1932)   -0.0184726 -1.83652e-06
log_rec_dev(1933)   -0.0194244 -2.17345e-06
log_rec_dev(1934)   -0.0204909 -1.90679e-06
log_rec_dev(1935)   -0.0216831 -2.05309e-06
log_rec_dev(1936)   -0.0229535 -1.73681e-06
log_rec_dev(1937)   -0.0243754 -1.52073e-06
log_rec_dev(1938)   -0.0259797 -1.56104e-06
log_rec_dev(1939)   -0.0277717 -1.73733e-06
log_rec_dev(1940)   -0.0297328 -2.17946e-06
log_rec_dev(1941)   -0.0319013 -2.35184e-06
log_rec_dev(1942)   -0.0343109 -2.38048e-06
log_rec_dev(1943)    -0.036942 -2.94644e-06
log_rec_dev(1944)    -0.039821 -2.87589e-06
log_rec_dev(1945)   -0.0429625 -2.92677e-06
log_rec_dev(1946)   -0.0463635 -2.60785e-06
log_rec_dev(1947)   -0.0499981 -2.32867e-06
log_rec_dev(1948)   -0.0538431 -3.25452e-06
log_rec_dev(1949)   -0.0578396 -3.21103e-06
log_rec_dev(1950)   -0.0618632  -2.4222e-06
log_rec_dev(1951)   -0.0657645 -2.04142e-06
log_rec_dev(1952)   -0.0693367 -2.34214e-06
log_rec_dev(1953)   -0.0721495 -2.69448e-06
log_rec_dev(1954)   -0.0734978 -2.82114e-06
log_rec_dev(1955)   -0.0721871 -3.10708e-06
log_rec_dev(1956)   -0.0668948 -2.79217e-06
log_rec_dev(1957)   -0.0553819 -2.87023e-06
log_rec_dev(1958)   -0.0349636 -2.96625e-06
log_rec_dev(1959)  -0.00269715 -2.83933e-06
log_rec_dev(1960)     0.044061 -1.88279e-06
log_rec_dev(1961)      0.10433 -2.44407e-06
log_rec_dev(1962)     0.172012  -4.3086e-07
log_rec_dev(1963)      0.23316  4.80634e-08
log_rec_dev(1964)     0.268447  5.16573e-07
log_rec_dev(1965)     0.280189  4.08742e-06
log_rec_dev(1966)     0.231716  3.43765e-06
log_rec_dev(1967)     0.146567  3.44525e-06
log_rec_dev(1968)    0.0494035  3.10937e-06
log_rec_dev(1969)   -0.0427326  1.56082e-06
log_rec_dev(1970)    -0.133437  3.39241e-06
log_rec_dev(1971)    -0.221045  2.63678e-06
log_rec_dev(1972)    -0.296345  2.85224e-06
log_rec_dev(1973)    -0.351159  3.17397e-06
log_rec_dev(1974)    -0.361978  4.11527e-06
log_rec_dev(1975)      -1.1258  5.14946e-07
log_rec_dev(1976)    -0.977419 -3.69904e-07
log_rec_dev(1977)    -0.926514  1.40317e-06
log_rec_dev(1978)      -0.6671   2.7274e-06
log_rec_dev(1979)      1.11661  3.35007e-05
log_rec_dev(1980)     0.525703  1.25994e-05
log_rec_dev(1981)      -0.1083  6.16272e-06
log_rec_dev(1982)      1.05812  2.07014e-05
log_rec_dev(1983)      0.56178  6.28553e-06
log_rec_dev(1984)    -0.416703 -3.62808e-06
log_rec_dev(1985)    -0.259608 -3.80976e-06
log_rec_dev(1986)     0.301177 -3.77041e-06
log_rec_dev(1987)    -0.592622 -3.75098e-06
log_rec_dev(1988)    -0.893818 -4.53623e-06
log_rec_dev(1989)    -0.719351 -3.34522e-06
log_rec_dev(1990)    -0.182785 -4.48337e-06
log_rec_dev(1991)     0.468825 -6.79455e-06
log_rec_dev(1992)    -0.683998 -2.60818e-06
log_rec_dev(1993)     0.542601 -2.18175e-07
log_rec_dev(1994)    -0.760067     8.72e-07
log_rec_dev(1995)    -0.674561  1.38419e-06
log_rec_dev(1996)    -0.161524  2.61459e-06
log_rec_dev(1997)     0.335087 -2.46259e-06
log_rec_dev(1998)      -0.4437 -4.12602e-06
log_rec_dev(1999)     0.921924 -1.80582e-05
log_rec_dev(2000)    0.0991738  -7.5566e-06
log_rec_dev(2001)    0.0637718 -4.99296e-06
log_rec_dev(2002)      1.08281 -1.12414e-05
log_rec_dev(2003)    -0.105675 -5.99098e-06
log_rec_dev(2004)    -0.392145 -3.65265e-06
log_rec_dev(2005)    -0.198015 -3.02112e-06
log_rec_dev(2006)    -0.671941 -2.19916e-06
log_rec_dev(2007)    -0.330262 -1.43892e-06
log_rec_dev(2008)    -0.404515 -1.34243e-06
log_rec_dev(2009)    0.0782738  6.80482e-06
log_rec_dev(2010)     0.378541  1.46331e-05
log_rec_dev(2011)    -0.377247  9.41667e-06
log_rec_dev(2012)    -0.246526  9.28101e-06
log_rec_dev(2013)     -1.18279  2.35479e-06
log_rec_dev(2014)    -0.668547  1.94887e-06
log_rec_dev(2015)   -0.0380643   6.0399e-06
log_rec_dev(2016)      1.21542  8.36694e-06
log_rec_dev(2017)     0.374058 -2.04466e-07
log_rec_dev(2018)      1.86849  3.78449e-06
log_rec_dev(2019)      1.85162  3.63299e-06
log_rec_dev(2020)     0.908382 -2.72417e-07
log_rec_dev(2021)      1.41299 -3.62527e-07
log_rec_dev(2022)    0.0736188 -1.80426e-06
log_rec_dev(2023)    0.0270461 -1.90619e-06
log_mean_rec      3.30243  0.000117337
log_sigr    0.0973734  -1.0483e-05
logm      -2.1689  -2.7087e-05
log_avg_F_fish1     -3.05934  4.36518e-06
log_F_devs_fish1(1960)     -1.99055  4.63547e-07
log_F_devs_fish1(1961)    -0.333282  1.28842e-06
log_F_devs_fish1(1962)     0.191402 -8.64839e-07
log_F_devs_fish1(1963)    -0.696723 -2.13576e-06
log_F_devs_fish1(1964)     -1.86094 -2.25326e-06
log_F_devs_fish1(1965)     -3.16802 -3.07084e-06
log_F_devs_fish1(1966)     -1.73999 -9.12089e-07
log_F_devs_fish1(1967)     -1.71551 -9.05399e-07
log_F_devs_fish1(1968)    -0.655573 -1.15421e-06
log_F_devs_fish1(1969)    -0.312694  -2.2184e-07
log_F_devs_fish1(1970)      0.11205  2.76781e-07
log_F_devs_fish1(1971)     0.175254 -3.74841e-07
log_F_devs_fish1(1972)     0.469642  9.32121e-07
log_F_devs_fish1(1973)     0.347054  5.98468e-07
log_F_devs_fish1(1974)     0.518096 -7.67291e-07
log_F_devs_fish1(1975)     0.505694 -5.29548e-07
log_F_devs_fish1(1976)     0.678861 -1.14313e-06
log_F_devs_fish1(1977)     0.454688 -1.03283e-06
log_F_devs_fish1(1978)    -0.233852  8.05305e-07
log_F_devs_fish1(1979)     -0.10218 -1.20754e-06
log_F_devs_fish1(1980)     -0.32337   6.5841e-07
log_F_devs_fish1(1981)   -0.0840618  1.64088e-06
log_F_devs_fish1(1982)    -0.210041  5.97712e-07
log_F_devs_fish1(1983)    -0.295239  3.67145e-07
log_F_devs_fish1(1984)    -0.354124  1.70531e-06
log_F_devs_fish1(1985)    -0.188528  1.36315e-06
log_F_devs_fish1(1986)      0.25745  9.08354e-08
log_F_devs_fish1(1987)     0.495577  5.78396e-07
log_F_devs_fish1(1988)     0.597713  1.80777e-09
log_F_devs_fish1(1989)     0.611532  -1.1008e-06
log_F_devs_fish1(1990)     0.596002 -6.19168e-07
log_F_devs_fish1(1991)     0.541636 -1.44978e-06
log_F_devs_fish1(1992)     0.483759 -1.28587e-06
log_F_devs_fish1(1993)     0.618492 -1.99647e-06
log_F_devs_fish1(1994)     0.593924 -2.17605e-06
log_F_devs_fish1(1995)      0.41474 -9.92799e-07
log_F_devs_fish1(1996)      0.30828 -8.19931e-07
log_F_devs_fish1(1997)     0.223208 -8.29145e-07
log_F_devs_fish1(1998)     0.244992  5.24627e-08
