ParName   Value   Gradient
log_rec_dev(1932)  -0.00758724 -1.39903e-10
log_rec_dev(1933)  -0.00850836 -9.71631e-08
log_rec_dev(1934)  -0.00953988 -1.40529e-07
log_rec_dev(1935)   -0.0106922  1.89387e-07
log_rec_dev(1936)    -0.011917  2.32812e-07
log_rec_dev(1937)   -0.0132869  4.83548e-08
log_rec_dev(1938)   -0.0148322  1.48383e-07
log_rec_dev(1939)   -0.0165571 -1.39659e-07
log_rec_dev(1940)   -0.0184419 -1.87504e-07
log_rec_dev(1941)   -0.0205239 -3.45671e-07
log_rec_dev(1942)   -0.0228356 -2.62534e-07
log_rec_dev(1943)   -0.0253561 -5.26707e-07
log_rec_dev(1944)   -0.0281103 -1.80757e-07
log_rec_dev(1945)   -0.0311116  1.28385e-07
log_rec_dev(1946)   -0.0343554 -3.14882e-08
log_rec_dev(1947)   -0.0378143 -1.87984e-07
log_rec_dev(1948)   -0.0414633 -2.56018e-07
log_rec_dev(1949)   -0.0452423  2.26789e-07
log_rec_dev(1950)   -0.0490257  1.22556e-06
log_rec_dev(1951)   -0.0526629  9.17126e-07
log_rec_dev(1952)   -0.0559466  1.39695e-06
log_rec_dev(1953)   -0.0584431  1.45485e-06
log_rec_dev(1954)   -0.0594482  1.66183e-06
log_rec_dev(1955)   -0.0577657  7.97683e-07
log_rec_dev(1956)   -0.0520686  2.05946e-07
log_rec_dev(1957)   -0.0401091  6.66522e-07
log_rec_dev(1958)   -0.0191828    2.098e-06
log_rec_dev(1959)     0.013687  2.37332e-06
log_rec_dev(1960)    0.0612013  3.24275e-06
log_rec_dev(1961)     0.122453  3.09264e-06
log_rec_dev(1962)     0.191443  4.92657e-06
log_rec_dev(1963)     0.254211  5.28489e-06
log_rec_dev(1964)       0.2911  5.70842e-06
log_rec_dev(1965)     0.304112  5.20215e-06
log_rec_dev(1966)     0.255893  7.21364e-06
log_rec_dev(1967)      0.17044  6.54886e-06
log_rec_dev(1968)    0.0728558  5.85155e-06
log_rec_dev(1969)   -0.0196511  4.54214e-06
log_rec_dev(1970)    -0.110781  4.79314e-06
log_rec_dev(1971)    -0.198876  3.78359e-06
log_rec_dev(1972)    -0.274687  3.82465e-06
log_rec_dev(1973)     -0.33006  2.63806e-06
log_rec_dev(1974)    -0.341472  1.36922e-06
log_rec_dev(1975)     -1.08869  1.41926e-06
log_rec_dev(1976)    -0.937422  2.54939e-06
log_rec_dev(1977)     -0.89311 -1.54117e-07
log_rec_dev(1978)    -0.634495   1.5064e-07
log_rec_dev(1979)      1.14041 -9.26516e-06
log_rec_dev(1980)     0.552869 -6.27965e-06
log_rec_dev(1981)   -0.0712154 -2.57015e-06
log_rec_dev(1982)        1.082 -1.20133e-05
log_rec_dev(1983)      0.60477  -3.7843e-06
log_rec_dev(1984)    -0.382657  3.22829e-06
log_rec_dev(1985)    -0.221666   2.7127e-06
log_rec_dev(1986)     0.354219  3.78902e-06
log_rec_dev(1987)    -0.546353  2.59212e-06
log_rec_dev(1988)    -0.848243  2.52398e-06
log_rec_dev(1989)    -0.667804   2.8733e-06
log_rec_dev(1990)    -0.122374  5.24093e-06
log_rec_dev(1991)     0.531349  7.38136e-06
log_rec_dev(1992)    -0.639118  3.02649e-06
log_rec_dev(1993)     0.605727 -3.20166e-06
log_rec_dev(1994)    -0.708459 -1.16735e-06
log_rec_dev(1995)    -0.617986 -3.77847e-06
log_rec_dev(1996)    -0.102268  -6.2416e-06
log_rec_dev(1997)     0.395855 -1.09774e-05
log_rec_dev(1998)    -0.391446  -2.8113e-06
log_rec_dev(1999)     0.982499 -1.82335e-05
log_rec_dev(2000)     0.157101 -4.75197e-06
log_rec_dev(2001)       0.1225 -5.06814e-06
log_rec_dev(2002)      1.14205 -2.20735e-05
log_rec_dev(2003)   -0.0456561 -5.28192e-06
log_rec_dev(2004)    -0.337006 -3.83893e-06
log_rec_dev(2005)    -0.135545 -3.69454e-06
log_rec_dev(2006)    -0.618959 -7.38367e-07
log_rec_dev(2007)    -0.268731 -8.53033e-07
log_rec_dev(2008)    -0.348389 -1.46128e-06
log_rec_dev(2009)     0.137648 -1.97302e-06
log_rec_dev(2010)     0.438913 -4.30155e-06
log_rec_dev(2011)    -0.322847  6.53804e-08
log_rec_dev(2012)    -0.182808 -1.07978e-06
log_rec_dev(2013)      -1.1355  3.11148e-06
log_rec_dev(2014)    -0.608437  1.53379e-06
log_rec_dev(2015)    0.0236834   9.7695e-07
log_rec_dev(2016)      1.27562 -2.32407e-06
log_rec_dev(2017)     0.435838 -3.03719e-06
log_rec_dev(2018)      1.92926 -5.80121e-06
log_rec_dev(2019)      1.91118 -7.05404e-07
log_rec_dev(2020)     0.965936  7.01436e-07
log_rec_dev(2021)       1.4557  4.52341e-06
log_rec_dev(2022)     0.118867  1.28859e-06
log_rec_dev(2023)    0.0655819 -3.54584e-07
log_mean_rec      3.26283 -1.63397e-05
log_sigr     0.124096  2.10664e-05
logm     -2.17669 -1.05392e-05
log_avg_F_fish1     -3.00625 -3.27918e-05
log_F_devs_fish1(1960)     -2.02553  5.59704e-07
log_F_devs_fish1(1961)    -0.368608 -1.58257e-06
log_F_devs_fish1(1962)     0.156082 -2.73205e-06
log_F_devs_fish1(1963)    -0.731924 -1.15732e-06
log_F_devs_fish1(1964)     -1.89647 -1.17787e-06
log_F_devs_fish1(1965)     -3.20412 -1.40162e-06
log_F_devs_fish1(1966)     -1.77672 -1.62236e-06
log_F_devs_fish1(1967)     -1.75273 -9.20085e-07
log_F_devs_fish1(1968)    -0.693307 -3.83806e-07
log_F_devs_fish1(1969)    -0.350685  2.78095e-07
log_F_devs_fish1(1970)    0.0738768  5.61804e-07
log_F_devs_fish1(1971)     0.137239   9.8205e-08
log_F_devs_fish1(1972)     0.431983 -2.12087e-07
log_F_devs_fish1(1973)     0.310149   2.3153e-06
log_F_devs_fish1(1974)     0.481711  1.90294e-06
log_F_devs_fish1(1975)     0.469898  2.05334e-06
log_F_devs_fish1(1976)     0.643603  7.02178e-07
log_F_devs_fish1(1977)     0.419862    3.816e-07
log_F_devs_fish1(1978)    -0.269048  1.78917e-06
log_F_devs_fish1(1979)    -0.138189  1.56183e-06
log_F_devs_fish1(1980)    -0.360341  8.42633e-07
log_F_devs_fish1(1981)     -0.12224 -9.56536e-07
log_F_devs_fish1(1982)     -0.24918 -3.02994e-07
log_F_devs_fish1(1983)    -0.335517 -1.06387e-06
log_F_devs_fish1(1984)    -0.395369  -1.7903e-06
log_F_devs_fish1(1985)    -0.230493 -2.63059e-06
log_F_devs_fish1(1986)     0.215108 -2.50527e-06
log_F_devs_fish1(1987)     0.453136   -1.605e-06
log_F_devs_fish1(1988)     0.555326 -1.36773e-06
log_F_devs_fish1(1989)       0.5694 -2.53907e-06
log_F_devs_fish1(1990)     0.553822 -1.74762e-06
log_F_devs_fish1(1991)       0.4991 -1.34332e-06
log_F_devs_fish1(1992)     0.440954  -1.5123e-06
log_F_devs_fish1(1993)     0.575471 -1.51012e-06
log_F_devs_fish1(1994)     0.550936 -1.29456e-06
log_F_devs_fish1(1995)     0.371837  6.26321e-07
log_F_devs_fish1(1996)     0.265494  7.82754e-07
log_F_devs_fish1(1997)     0.180557  8.60574e-07
log_F_devs_fish1(1998)     0.202447  1.24802e-06
log_F_devs_fish1(1999)     0.196736  1.09571e-07
log_F_devs_fish1(2000)     0.383945 -5.05832e-07
log_F_devs_fish1(2001)      0.30053 -1.31713e-06
log_F_devs_fish1(2002)     0.301376 -1.01303e-06
log_F_devs_fish1(2003)     0.409029  2.32751e-08
log_F_devs_fish1(2004)     0.471421 -5.10306e-07
log_F_devs_fish1(2005)     0.371785 -7.55079e-07
log_F_devs_fish1(2006)     0.313034 -1.08615e-06
log_F_devs_fish1(2007)     0.359592 -8.94161e-07
log_F_devs_fish1(2008)     0.306122 -7.73303e-07
log_F_devs_fish1(2009)     0.246999  -8.6012e-07
log_F_devs_fish1(2010)      0.20926   7.6321e-08
log_F_devs_fish1(2011)     0.332383  1.69435e-08
log_F_devs_fish1(2012)     0.429574  6.25582e-08
log_F_devs_fish1(2013)     0.431642 -2.83706e-07
log_F_devs_fish1(2014)     0.274402 -2.48604e-07
log_F_devs_fish1(2015)     0.251571 -4.47192e-07
log_F_devs_fish1(2016)    0.0422338 -4.09389e-07
log_F_devs_fish1(2017)    0.0873396   8.9381e-07
log_F_devs_fish1(2018)   -0.0184454   7.0128e-07
log_F_devs_fish1(2019)    -0.165808 -6.98356e-08
log_F_devs_fish1(2020)    -0.433764 -6.63757e-07
log_F_devs_fish1(2021)    -0.292256 -1.84474e-06
log_F_devs_fish1(2022)    -0.164968  -3.7362e-07
log_F_devs_fish1(2023)    -0.351504  4.96483e-07
log_F_devs_fish1(2024)     -0.55958  2.96446e-07
log_avg_F_fish3     -4.48763 -6.68153e-06
log_F_devs_fish3(1963)     0.222694 -8.75959e-07
log_F_devs_fish3(1964)    -0.247707  3.30946e-07
log_F_devs_fish3(1965)     0.388099 -5.37459e-07
log_F_devs_fish3(1966)      0.77738  1.11943e-06
log_F_devs_fish3(1967)      1.02619  1.11567e-06
log_F_devs_fish3(1968)      1.29068  1.57914e-08
log_F_devs_fish3(1969)      1.39752  -4.9699e-07
log_F_devs_fish3(1970)      1.09734  1.19694e-06
log_F_devs_fish3(1971)      1.46641  1.39559e-06
log_F_devs_fish3(1972)      1.72442  3.66853e-07
log_F_devs_fish3(1973)      1.23072  1.33183e-06
log_F_devs_fish3(1974)     0.893948  1.43457e-06
log_F_devs_fish3(1975)      0.65034   1.5793e-06
log_F_devs_fish3(1976)      0.69212   1.9705e-07
log_F_devs_fish3(1977)     -0.14819  2.15602e-06
log_F_devs_fish3(1978)    -0.824777 -3.35506e-07
log_F_devs_fish3(1979)    -0.674418 -6.04994e-07
log_F_devs_fish3(1980)    -0.502106 -5.64333e-07
log_F_devs_fish3(1981)    -0.827698   1.1131e-06
log_F_devs_fish3(1982)    -0.840379  2.30971e-07
log_F_devs_fish3(1983)     -1.07227  4.13748e-07
log_F_devs_fish3(1984)    -0.284955 -1.31282e-06
log_F_devs_fish3(1985)     -1.24168 -8.53487e-07
log_F_devs_fish3(1986)     0.337214  -4.9353e-07
log_F_devs_fish3(1987)     0.426522 -2.03698e-06
log_F_devs_fish3(1988)     0.693624 -6.01046e-07
log_F_devs_fish3(1989)     0.588335 -1.50504e-06
log_F_devs_fish3(1990)     0.257404 -1.15181e-06
log_F_devs_fish3(1991)   -0.0666346  -2.2765e-06
log_F_devs_fish3(1992)   -0.0445041 -1.69781e-06
log_F_devs_fish3(1993)    -0.128851 -4.07916e-07
log_F_devs_fish3(1994)    0.0951967  4.44092e-07
log_F_devs_fish3(1995)    0.0448237  1.13761e-06
log_F_devs_fish3(1996)   -0.0681484  1.14503e-06
log_F_devs_fish3(1997)    -0.319413 -2.46839e-07
log_F_devs_fish3(1998)    -0.376576 -6.43787e-07
log_F_devs_fish3(1999)    -0.109267  3.51871e-08
log_F_devs_fish3(2000)    -0.116538 -5.21202e-07
log_F_devs_fish3(2001)    -0.265645  4.74458e-07
log_F_devs_fish3(2002)    -0.106283 -1.86894e-06
log_F_devs_fish3(2003)    -0.239279 -9.12352e-07
log_F_devs_fish3(2004)    -0.476421  2.95673e-07
log_F_devs_fish3(2005)    -0.535526 -1.38681e-06
log_F_devs_fish3(2006)    -0.729137 -2.01508e-06
log_F_devs_fish3(2007)    -0.693984 -8.64015e-07
log_F_devs_fish3(2008)    -0.734369 -1.03602e-06
log_F_devs_fish3(2009)    -0.748888  6.18781e-07
log_F_devs_fish3(2010)    -0.779859 -1.83253e-07
log_F_devs_fish3(2011)    -0.598257  -4.9945e-07
log_F_devs_fish3(2012)    -0.639153 -6.35452e-07
log_F_devs_fish3(2013)    -0.657553 -1.11908e-06
log_F_devs_fish3(2014)    -0.617844  5.85195e-08
log_F_devs_fish3(2015)    -0.517382 -1.85457e-06
log_F_devs_fish3(2016)    -0.373152 -8.38814e-07
log_F_devs_fish3(2017)    0.0838248 -4.32053e-07
log_F_devs_fish3(2018)     0.384337  6.63488e-07
log_F_devs_fish3(2019)     0.427159  4.44816e-07
log_F_devs_fish3(2020)     0.590796  6.75481e-07
log_F_devs_fish3(2021)   -0.0388604  7.87115e-07
log_F_devs_fish3(2022)   -0.0579998  1.08592e-06
log_F_devs_fish3(2023)   -0.0851409  6.41325e-07
log_F_devs_fish3(2024)   0.00174944  1.75797e-06
log_q_srv1       1.8637 -7.77498e-07
log_q_srv2      1.53326  7.02235e-06
log_q_srv6      1.56922  7.41064e-06
log_q_srv7     -0.16355 -9.50227e-06
log_q_srv8     -6.53103 -3.48377e-06
log_q_LL_fish_recent      -7.2874  9.81192e-07
log_a50_fish1_f      1.39618   6.4261e-07
log_delta_fish1_f    -0.620558  1.96488e-06
