ParName   Value   Gradient
log_rec_dev(1932)  -0.00758569 -3.32012e-06
log_rec_dev(1933)  -0.00850662 -3.38597e-06
log_rec_dev(1934)  -0.00953792 -3.40103e-06
log_rec_dev(1935)     -0.01069  -3.3238e-06
log_rec_dev(1936)   -0.0119145 -3.19412e-06
log_rec_dev(1937)   -0.0132841 -3.01318e-06
log_rec_dev(1938)    -0.014829 -2.77692e-06
log_rec_dev(1939)   -0.0165536 -2.54997e-06
log_rec_dev(1940)   -0.0184379 -2.42146e-06
log_rec_dev(1941)   -0.0205194 -2.45692e-06
log_rec_dev(1942)   -0.0228306 -2.84975e-06
log_rec_dev(1943)   -0.0253504 -3.83781e-06
log_rec_dev(1944)    -0.028104 -5.49942e-06
log_rec_dev(1945)   -0.0311046 -7.83536e-06
log_rec_dev(1946)   -0.0343475 -1.05736e-05
log_rec_dev(1947)   -0.0378054 -1.30939e-05
log_rec_dev(1948)   -0.0414534 -1.45875e-05
log_rec_dev(1949)   -0.0452314 -1.41983e-05
log_rec_dev(1950)   -0.0490137 -1.20157e-05
log_rec_dev(1951)   -0.0526497 -7.27211e-06
log_rec_dev(1952)   -0.0559323 -1.39617e-06
log_rec_dev(1953)   -0.0584278  4.24229e-06
log_rec_dev(1954)   -0.0594323  7.49704e-06
log_rec_dev(1955)   -0.0577496  7.23889e-06
log_rec_dev(1956)   -0.0520529  4.96473e-06
log_rec_dev(1957)   -0.0400947  7.94213e-06
log_rec_dev(1958)   -0.0191707  1.20366e-05
log_rec_dev(1959)    0.0136963  2.01562e-05
log_rec_dev(1960)    0.0612082  8.95593e-06
log_rec_dev(1961)      0.12246  1.59883e-05
log_rec_dev(1962)     0.191453 -2.86143e-06
log_rec_dev(1963)     0.254225 -1.89356e-06
log_rec_dev(1964)     0.291113 -1.08008e-05
log_rec_dev(1965)     0.304118  1.37524e-05
log_rec_dev(1966)     0.255887 -8.22555e-06
log_rec_dev(1967)     0.170422  1.70453e-05
log_rec_dev(1968)    0.0728259 -9.97011e-06
log_rec_dev(1969)   -0.0196885 -2.69714e-05
log_rec_dev(1970)    -0.110823 -2.53022e-06
log_rec_dev(1971)    -0.198922 -1.54834e-05
log_rec_dev(1972)    -0.274732  2.93762e-05
log_rec_dev(1973)    -0.330096  2.15282e-05
log_rec_dev(1974)    -0.341504  -1.1655e-05
log_rec_dev(1975)     -1.08877  1.07486e-06
log_rec_dev(1976)    -0.937486  1.80192e-05
log_rec_dev(1977)    -0.893142  6.75048e-06
log_rec_dev(1978)    -0.634516  1.32462e-05
log_rec_dev(1979)      1.14042 -1.65901e-05
log_rec_dev(1980)     0.552878  -6.9394e-06
log_rec_dev(1981)   -0.0712347   1.2401e-05
log_rec_dev(1982)      1.08202  3.63255e-05
log_rec_dev(1983)     0.604762 -2.72712e-06
log_rec_dev(1984)     -0.38266 -1.50918e-05
log_rec_dev(1985)    -0.221668 -1.76082e-05
log_rec_dev(1986)      0.35421 -1.16352e-05
log_rec_dev(1987)    -0.546399  6.30028e-06
log_rec_dev(1988)    -0.848303  1.16571e-05
log_rec_dev(1989)    -0.667853  2.42669e-05
log_rec_dev(1990)    -0.122211 -2.77419e-08
log_rec_dev(1991)     0.531311 -1.49838e-05
log_rec_dev(1992)    -0.639171  2.27657e-06
log_rec_dev(1993)     0.605733  2.94617e-05
log_rec_dev(1994)    -0.708479 -3.51263e-05
log_rec_dev(1995)    -0.617994  -4.0011e-05
log_rec_dev(1996)    -0.102259 -4.52908e-05
log_rec_dev(1997)     0.395863  2.97767e-05
log_rec_dev(1998)    -0.391497  3.25447e-05
log_rec_dev(1999)     0.982554  1.96172e-05
log_rec_dev(2000)     0.156998 -5.99613e-05
log_rec_dev(2001)     0.122549 -2.32905e-05
log_rec_dev(2002)      1.14205  2.26222e-05
log_rec_dev(2003)   -0.0456488  1.79296e-07
log_rec_dev(2004)     -0.33704 -8.33596e-06
log_rec_dev(2005)    -0.135485 -1.65496e-05
log_rec_dev(2006)    -0.618978  -7.5071e-06
log_rec_dev(2007)    -0.268724  3.47942e-05
log_rec_dev(2008)    -0.348372 -2.01886e-05
log_rec_dev(2009)     0.137665  2.18314e-06
log_rec_dev(2010)     0.438942 -1.16687e-05
log_rec_dev(2011)    -0.322842 -1.97957e-05
log_rec_dev(2012)    -0.182805  2.45323e-05
log_rec_dev(2013)     -1.13547  2.72952e-05
log_rec_dev(2014)      -0.6084 -1.58142e-05
log_rec_dev(2015)    0.0237398  8.88434e-06
log_rec_dev(2016)      1.27564  9.30973e-06
log_rec_dev(2017)     0.435842 -1.30296e-05
log_rec_dev(2018)      1.92928  1.61808e-05
log_rec_dev(2019)       1.9112 -1.57305e-05
log_rec_dev(2020)     0.965941  3.20021e-05
log_rec_dev(2021)      1.45575  1.08426e-05
log_rec_dev(2022)     0.118887 -3.21424e-05
log_rec_dev(2023)    0.0656443  -4.4719e-05
log_mean_rec       3.2628 -1.06332e-06
log_sigr     0.124111  3.62834e-06
log_mF50      -2.7725 -3.65786e-07
log_mF40      -2.4497  9.65943e-07
log_mF35     -2.28739 -5.94469e-07
logm      -2.1767 -2.40838e-06
log_avg_F_fish1     -3.00625  -3.0703e-07
log_F_devs_fish1(1960)     -2.02553 -2.67795e-05
log_F_devs_fish1(1961)    -0.368614  6.90663e-05
log_F_devs_fish1(1962)     0.156075 -3.40438e-06
log_F_devs_fish1(1963)    -0.731929  6.59499e-06
log_F_devs_fish1(1964)     -1.89647 -5.61903e-05
log_F_devs_fish1(1965)     -3.20413  3.78497e-06
log_F_devs_fish1(1966)     -1.77672  9.35373e-05
log_F_devs_fish1(1967)     -1.75273 -7.11035e-05
log_F_devs_fish1(1968)    -0.693315 -4.81605e-06
log_F_devs_fish1(1969)    -0.350694 -0.000102802
log_F_devs_fish1(1970)    0.0738644 -1.72195e-05
log_F_devs_fish1(1971)     0.137224  8.27654e-06
log_F_devs_fish1(1972)     0.431967 -3.00225e-05
log_F_devs_fish1(1973)      0.31013 -1.85853e-05
log_F_devs_fish1(1974)     0.481688 -7.42484e-06
log_F_devs_fish1(1975)      0.46987  1.62184e-05
log_F_devs_fish1(1976)     0.643573 -2.77455e-05
log_F_devs_fish1(1977)     0.419829  3.28086e-05
log_F_devs_fish1(1978)    -0.269083 -6.48147e-05
log_F_devs_fish1(1979)    -0.138223  9.61744e-06
log_F_devs_fish1(1980)    -0.360373  1.94488e-05
log_F_devs_fish1(1981)    -0.122272 -4.13043e-05
log_F_devs_fish1(1982)    -0.249212  7.05515e-05
log_F_devs_fish1(1983)    -0.335549 -1.27154e-05
log_F_devs_fish1(1984)    -0.395398  2.45353e-06
log_F_devs_fish1(1985)     -0.23052 -6.06747e-06
log_F_devs_fish1(1986)     0.215084  2.65516e-05
log_F_devs_fish1(1987)     0.453116  0.000108787
log_F_devs_fish1(1988)     0.555309 -1.50867e-05
log_F_devs_fish1(1989)     0.569388  -4.4664e-05
log_F_devs_fish1(1990)     0.553811 -6.89626e-06
log_F_devs_fish1(1991)     0.499091  9.60077e-06
log_F_devs_fish1(1992)     0.440946  5.87909e-06
log_F_devs_fish1(1993)     0.575462  8.63804e-06
log_F_devs_fish1(1994)     0.550929  8.02295e-06
log_F_devs_fish1(1995)     0.371854 -3.22795e-07
